Site_ID,Natural Community,Macrogroup,Plot_ID,SP_Richness,EIA_score_NOSIZE,EIA_RANK_NOSIZE,cwCOC,cwFQI,avCOC,Percent_native plants,Plot number,OLDcwCOC,OLD_cwFQI,OLDavCOC,Size (m^2),Region
6,Silver maple floodplain forest,Large river floodplain,8,20,3.332569929,B,4.343915344,19.42657999,4,1,1,3.835978836,17.15501887,3.55,400,82
139,High - gradient hardwood floodplain forest,Large river floodplain,199,23,3.336666667,B,4.634782609,22.22763654,4.565217391,1,1,3.92173913,18.80800015,3.695652174,400,58
157,Mixed graminoid - shrub marsh,Wet Meadow / Shrub Marsh,223,9,3.345,B,5.905263158,17.71578947,5.666666667,1,1,4.484210526,13.45263158,4.444444444,,58
157,Mixed graminoid - shrub marsh,Wet Meadow / Shrub Marsh,224,12,3.345,B,4.65,16.10807251,5.25,1,2,3.75,12.99038106,4.416666667,,58
23,Hardwood river terrace forest,Large river floodplain,29,36,3.34923159,B,3.867647059,23.20588235,3.944444444,0.995098039,2,3,18,3.666666667,400,82
23,Hardwood river terrace forest,Large river floodplain,30,20,3.34923159,B,3.796116505,16.97674911,4.25,1,3,3.131067961,14.00256161,3.7,400,82
93,Hardwood river terrace forest,Large river floodplain,142,40,3.379333333,B,4.96875,31.42513425,4.35,0.994791667,1,4.890625,30.93102836,4.075,,82
42,Red maple - sensitive fern swamp,Northern swamp,71,29,3.408333333,B,4.391634981,23.64967815,5.137931034,1,1,3.779467681,20.35305634,3.931034483,400,59
138,High - gradient hardwood floodplain forest,Large river floodplain,198,37,3.427333333,B,5.406015038,32.88350571,4.837837838,1,1,5.015037594,30.50528276,3.972972973,400,58
155,Hudsonia river beach,Large river floodplain,219,8,3.45,B,6.146341463,17.38447891,4.25,0.987804878,,4.365853659,12.34849891,3,,58
26,Red maple - sensitive fern swamp,Northern swamp,33,30,3.463333333,B,3.336283186,18.27357559,4.3,1,1,2.672566372,14.63824888,3.466666667,400,58
133,Hardwood river terrace forest,Large river floodplain,190,27,3.465,B,4.196347032,21.8048588,4.62962963,1,1,3.242009132,16.84597361,3.703703704,400,58
6,Hardwood river terrace forest,Large river floodplain,9,21,3.46930723,B,3.439461883,15.76159443,3.619047619,0.995515695,2,2.417040359,11.0762704,3.095238095,400,82
149,Hardwood river terrace forest,Large river floodplain,207,20,3.481666667,B,3.280898876,14.67262583,4.1,1,,2.247191011,10.04974372,3.5,,82
